eps 	 delta 	 mass_up_error_goddard 	 mass_down_error_goddard 	             mass_up_error_lasser 	 mass_down_error_lasser 
0.1000 	 0.0500 	 0.402897416208 	 -0.402897416209 	 -0.059956083792 	 0.059797083791 
0.1000 	 0.1000 	 0.336813858254 	 -0.336813858254 	 -0.023189641746 	 0.022215641746 
0.1000 	 0.2000 	 0.016789269864 	 -0.016789269865 	 -0.039668230136 	 0.039596230135 
0.1000 	 0.5000 	 -0.072605799728 	 0.072605799728 	 0.382639200272 	 -0.382873200272 
0.1000 	 1.0000 	 -0.049735520815 	 0.049735520814 	 0.450123479185 	 -0.450171479186 
0.0900 	 0.0500 	 0.379145009202 	 -0.379145009203 	 -0.079565990798 	 0.079581990797 
0.0900 	 0.1000 	 0.273413349627 	 -0.273413349628 	 -0.072287150373 	 0.071419150372 
0.0900 	 0.2000 	 0.135273528159 	 -0.135273528160 	 0.113777028159 	 -0.113708028160 
0.0900 	 0.5000 	 -0.108875978171 	 0.108875978171 	 0.359416521829 	 -0.359744521829 
0.0900 	 1.0000 	 -0.053451676076 	 0.053451676075 	 0.446499323924 	 -0.446510323925 
0.0800 	 0.0500 	 0.380055078973 	 -0.380055078974 	 -0.073856421027 	 0.073442421026 
0.0800 	 0.1000 	 0.263076006225 	 -0.263076006226 	 -0.065216493775 	 0.064098493774 
0.0800 	 0.2000 	 -0.001679799500 	 0.001679799499 	 0.017603700500 	 -0.017552700501 
0.0800 	 0.5000 	 -0.110511939503 	 0.110511939503 	 0.368949060497 	 -0.369164060497 
0.0800 	 1.0000 	 -0.044452993818 	 0.044452993817 	 0.455530506182 	 -0.455543506183 
0.0700 	 0.0500 	 0.376005305896 	 -0.376005305895 	 -0.071518694104 	 0.071111694105 
0.0700 	 0.1000 	 0.262772429104 	 -0.262772429103 	 -0.043310570896 	 0.042681570897 
0.0700 	 0.2000 	 -0.046594094299 	 0.046594094300 	 0.020485905701 	 -0.020372905700 
0.0700 	 0.5000 	 -0.088752155277 	 0.088752155278 	 0.399452344723 	 -0.399612344722 
0.0700 	 1.0000 	 -0.042415735659 	 0.042415735661 	 0.457577764341 	 -0.457586764339 
0.0600 	 0.0500 	 0.354073914428 	 -0.354073914429 	 -0.084841085572 	 0.084374085571 
0.0600 	 0.1000 	 0.208953283951 	 -0.208953283951 	 -0.068843216049 	 0.068427216049 
0.0600 	 0.2000 	 0.039266415312 	 -0.039266415312 	 0.162572915312 	 -0.162439915312 
0.0600 	 0.5000 	 -0.102912014732 	 0.102912014732 	 0.391494985268 	 -0.391566985268 
0.0600 	 1.0000 	 -0.039867984175 	 0.039867984174 	 0.460131515825 	 -0.460132515826 
0.0500 	 0.0500 	 0.350777501206 	 -0.350777501204 	 -0.076628998794 	 0.075572998796 
0.0500 	 0.1000 	 0.228533362299 	 -0.228533362297 	 -0.010998137701 	 0.011004137703 
0.0500 	 0.2000 	 -0.071787873950 	 0.071787873952 	 0.118200126050 	 -0.118222126048 
0.0500 	 0.5000 	 -0.087364627889 	 0.087364627891 	 0.410701372111 	 -0.410715372109 
0.0500 	 1.0000 	 -0.035620709795 	 0.035620709797 	 0.464379290205 	 -0.464379290203 
0.0400 	 0.0500 	 0.312439789221 	 -0.312439789221 	 -0.097460210779 	 0.096494210779 
0.0400 	 0.1000 	 0.157456899299 	 -0.157456899300 	 -0.028261100701 	 0.028415100700 
0.0400 	 0.2000 	 -0.135933677336 	 0.135933677336 	 0.132596322664 	 -0.132860322664 
0.0400 	 0.5000 	 -0.078382058501 	 0.078382058501 	 0.421210441499 	 -0.421215441499 
0.0400 	 1.0000 	 -0.030084476064 	 0.030084476064 	 0.469915523936 	 -0.469915523936 
0.0300 	 0.0500 	 0.284007256345 	 -0.284007256344 	 -0.097140243655 	 0.096708243656 
0.0300 	 0.1000 	 0.137435719317 	 -0.137435719317 	 0.032540719317 	 -0.032503719317 
0.0300 	 0.2000 	 -0.073553650709 	 0.073553650710 	 0.284041849291 	 -0.284161849290 
0.0300 	 0.5000 	 -0.059750254570 	 0.059750254571 	 0.440220245430 	 -0.440221245429 
0.0300 	 1.0000 	 -0.023207809882 	 0.023207809882 	 0.476792190118 	 -0.476792190118 
0.0250 	 0.0500 	 0.272720845001 	 -0.272720845002 	 -0.086148154999 	 0.086043154998 
0.0250 	 0.1000 	 0.079720535704 	 -0.079720535704 	 0.032497035704 	 -0.032487035704 
0.0250 	 0.2000 	 -0.136677053267 	 0.136677053267 	 0.266819446733 	 -0.266936446733 
0.0250 	 0.5000 	 -0.049684953910 	 0.049684953909 	 0.450311046090 	 -0.450312046091 
0.0250 	 1.0000 	 -0.019041252166 	 0.019041252165 	 0.480958747834 	 -0.480958747835 
0.0200 	 0.0500 	 0.241280419253 	 -0.241280419254 	 -0.085410080747 	 0.085575080746 
0.0200 	 0.1000 	 0.032168773280 	 -0.032168773281 	 0.061495773280 	 -0.061717773281 
0.0200 	 0.2000 	 -0.078094529449 	 0.078094529448 	 0.368081470551 	 -0.368099470552 
0.0200 	 0.5000 	 -0.036544349034 	 0.036544349034 	 0.463455650966 	 -0.463455650966 
0.0200 	 1.0000 	 -0.014309657056 	 0.014309657056 	 0.485690342944 	 -0.485690342944 
