DIM	SIZE	STATE	EPS	S	q[0]	p[0]	Q[0].re	Q[0].im	P[0].re	P[0].im	c[0].re	c[0].im	c[1].re	c[1].im	c[2].re	c[2].im	c[3].re	c[3].im	c[4].re	c[4].im	c[5].re	c[5].im	c[6].re	c[6].im	c[7].re	c[7].im	c[8].re	c[8].im	c[9].re	c[9].im	c[10].re	c[10].im	c[11].re	c[11].im	c[12].re	c[12].im	c[13].re	c[13].im	c[14].re	c[14].im	c[15].re	c[15].im	c[16].re	c[16].im	c[17].re	c[17].im	c[18].re	c[18].im	c[19].re	c[19].im	c[20].re	c[20].im	c[21].re	c[21].im	c[22].re	c[22].im	c[23].re	c[23].im	c[24].re	c[24].im	c[25].re	c[25].im	c[26].re	c[26].im	c[27].re	c[27].im	c[28].re	c[28].im	c[29].re	c[29].im	c[30].re	c[30].im	c[31].re	c[31].im	c[32].re	c[32].im	c[33].re	c[33].im	c[34].re	c[34].im	c[35].re	c[35].im	c[36].re	c[36].im	c[37].re	c[37].im	c[38].re	c[38].im	c[39].re	c[39].im	c[40].re	c[40].im	c[41].re	c[41].im	c[42].re	c[42].im	c[43].re	c[43].im	c[44].re	c[44].im	c[45].re	c[45].im	c[46].re	c[46].im	c[47].re	c[47].im	c[48].re	c[48].im	c[49].re	c[49].im
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.7888543819998322 	 0 	 0.088388347648318447 	 0	 0 	 11.313708498984759	 0.00010974729569858258 	 0	 2.8567501155214054e-05 	 0	 4.1508484605477081e-05 	 0	 1.3078430180019545e-05 	 0	 5.8152780083120434e-06 	 0	 8.5795932461255403e-07 	 0	 -2.0416364918607718e-06 	 0	 -1.8734537442236581e-06 	 0	 -2.3858085270055618e-06 	 0	 -4.9265238486512761e-07 	 0	 1.0850402176275513e-06 	 0	 8.0972444568749684e-07 	 0	 4.8540985876988669e-07 	 0	 -1.0271273743498302e-07 	 0	 -5.7429329604848436e-07 	 0	 -2.7432020805234912e-07 	 0	 6.7031595005882856e-08 	 0	 1.7356656068092272e-07 	 0	 1.9760922960611408e-07 	 0	 3.8758603063610036e-08 	 0	 -1.1566132480482338e-07 	 0	 -1.2018717400740162e-07 	 0	 -6.626117315618457e-08 	 0	 6.8124715385844307e-08 	 0	 1.5445625407087915e-07 	 0	 1.7010617343259827e-08 	 0	 -1.2238267944424807e-07 	 0	 -6.0059555757784788e-08 	 0	 4.0519547137020178e-08 	 0	 4.9219931771262443e-08 	 0	 1.9464013192779602e-08 	 0	 -1.2589091719519369e-08 	 0	 -3.0570704222935473e-08 	 0	 -1.7709089084475958e-08 	 0	 6.2698357889583414e-09 	 0	 2.6078585959673812e-08 	 0	 2.4897617203006315e-08 	 0	 -1.5124906774937144e-08 	 0	 -4.1261530356038267e-08 	 0	 -3.0759140234829806e-09 	 0	 3.6732138948404373e-08 	 0	 1.6738830967734776e-08 	 0	 -1.8095161048235621e-08 	 0	 -1.9995275304687158e-08 	 0	 -2.7546077317360187e-09 	 0	 1.3626698121154368e-08 	 0	 1.6002247133859289e-08 	 0	 -2.636383096185738e-09 	 0	 -1.7686357563412546e-08 	 0	 -7.0917260746424519e-09 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.6770509831248426 	 0 	 0.088388347648318447 	 0	 0 	 11.313708498984759	 0.00028834105932606252 	 0	 7.0380462251452407e-05 	 0	 0.00010758618555623211 	 0	 3.2051713637642377e-05 	 0	 1.4533446824678748e-05 	 0	 2.0362256349227781e-06 	 0	 -5.2979409332722888e-06 	 0	 -4.5864271588798863e-06 	 0	 -6.0957501265039853e-06 	 0	 -1.1921256378229172e-06 	 0	 2.8268040155154285e-06 	 0	 1.9815508481135412e-06 	 0	 1.2106934864313879e-06 	 0	 -2.5848260267596499e-07 	 0	 -1.4723970681891702e-06 	 0	 -6.6691554033228124e-07 	 0	 1.8720615060966727e-07 	 0	 4.2519414469008855e-07 	 0	 4.9526824750370737e-07 	 0	 9.2452050306958952e-08 	 0	 -2.941107255614134e-07 	 0	 -2.9262119238211744e-07 	 0	 -1.6796623246119264e-07 	 0	 1.6685272048217756e-07 	 0	 3.952069254280982e-07 	 0	 4.064938050878702e-08 	 0	 -3.1610501326236618e-07 	 0	 -1.4619341310140001e-07 	 0	 1.082147641068945e-07 	 0	 1.2034922768158588e-07 	 0	 4.5699000597063451e-08 	 0	 -3.1267944243394091e-08 	 0	 -7.5694092869872098e-08 	 0	 -4.2718442077920428e-08 	 0	 1.508061855648334e-08 	 0	 6.3387701411368511e-08 	 0	 6.379774400436317e-08 	 0	 -3.690059188702124e-08 	 0	 -1.0556234749449405e-07 	 0	 -7.3886468627449838e-09 	 0	 9.4317276878829709e-08 	 0	 4.0733117648035201e-08 	 0	 -4.7036879449691933e-08 	 0	 -4.8760779117828816e-08 	 0	 -6.1056411418524016e-09 	 0	 3.3315913216270739e-08 	 0	 4.0079167321473569e-08 	 0	 -6.5663981819644164e-09 	 0	 -4.4695200187074329e-08 	 0	 -1.7142414830557083e-08 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.5652475842498532 	 0 	 0.088388347648318447 	 0	 0 	 11.313708498984759	 0.00071179277702578436 	 0	 0.0001621906435866587 	 0	 0.00026218836950299055 	 0	 7.3498064034417261e-05 	 0	 3.4164250729480648e-05 	 0	 4.5259186852402991e-06 	 0	 -1.2922453501256583e-05 	 0	 -1.050643533835218e-05 	 0	 -1.4652018136898313e-05 	 0	 -2.7009068192244096e-06 	 0	 6.9221282264753082e-06 	 0	 4.5377220667234856e-06 	 0	 2.8406788341777514e-06 	 0	 -6.0727990311228178e-07 	 0	 -3.5506632379052852e-06 	 0	 -1.5177315116120338e-06 	 0	 4.8716977171786741e-07 	 0	 9.7462475146899394e-07 	 0	 1.1678220162054526e-06 	 0	 2.0655794904584221e-07 	 0	 -7.0347268244908324e-07 	 0	 -6.668655814776422e-07 	 0	 -4.0075245249478608e-07 	 0	 3.8238139632737722e-07 	 0	 9.5133582367322796e-07 	 0	 9.0984328177656017e-08 	 0	 -7.678182211332312e-07 	 0	 -3.3309485874923317e-07 	 0	 2.7109231180743351e-07 	 0	 2.7537877582536195e-07 	 0	 1.0037747860413857e-07 	 0	 -7.2592251715937648e-08 	 0	 -1.762425120358139e-07 	 0	 -9.6491762562879292e-08 	 0	 3.3997848787363131e-08 	 0	 1.4422611651131724e-07 	 0	 1.5382205431606666e-07 	 0	 -8.4256062172579625e-08 	 0	 -2.5408734794408998e-07 	 0	 -1.6623883678968633e-08 	 0	 2.278102188773005e-07 	 0	 9.2785038295872022e-08 	 0	 -1.1494521034659858e-07 	 0	 -1.112934618755254e-07 	 0	 -1.2492378616869166e-08 	 0	 7.6226346289236362e-08 	 0	 9.4446944534040688e-08 	 0	 -1.5284212080939634e-08 	 0	 -1.0627466487258003e-07 	 0	 -3.8798177102756791e-08 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.4534441853748636 	 0 	 0.088388347648318447 	 0	 0 	 11.313708498984759	 0.0016509546228921598 	 0	 0.0003493867021846689 	 0	 0.00060078811301906958 	 0	 0.00015759591333048154 	 0	 7.5559327273562891e-05 	 0	 9.4165972247635475e-06 	 0	 -2.9629344781004765e-05 	 0	 -2.2506234208055715e-05 	 0	 -3.3134823962004581e-05 	 0	 -5.7257503818244728e-06 	 0	 1.5932793951273221e-05 	 0	 9.7174335164173665e-06 	 0	 6.2716317825607609e-06 	 0	 -1.3312794068312725e-06 	 0	 -8.0542262403858525e-06 	 0	 -3.2311205325067271e-06 	 0	 1.1828567685049915e-06 	 0	 2.0889790978701533e-06 	 0	 2.5912557949871479e-06 	 0	 4.3202267161110211e-07 	 0	 -1.5829255642753157e-06 	 0	 -1.4215959658602305e-06 	 0	 -9.0004308390551863e-07 	 0	 8.1943151749131418e-07 	 0	 2.1545885541295807e-06 	 0	 1.9063980675538666e-07 	 0	 -1.7539537075698071e-06 	 0	 -7.0994131169392741e-07 	 0	 6.3711771507912706e-07 	 0	 5.8927693066118966e-07 	 0	 2.0622212999921136e-07 	 0	 -1.5743377067448746e-07 	 0	 -3.8599406517337627e-07 	 0	 -2.0396510411749696e-07 	 0	 7.1851729413335703e-08 	 0	 3.0698957282036068e-07 	 0	 3.4898906689950204e-07 	 0	 -1.7993542948373924e-07 	 0	 -5.7543463457835705e-07 	 0	 -3.5011627268137371e-08 	 0	 5.1762613269424129e-07 	 0	 1.9771292370929237e-07 	 0	 -2.6407686054823716e-07 	 0	 -2.375976325355586e-07 	 0	 -2.3470924339208959e-08 	 0	 1.6310484545777414e-07 	 0	 2.0945097330470453e-07 	 0	 -3.3226867178903196e-08 	 0	 -2.3780051091023015e-07 	 0	 -8.216779110219988e-08 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.3416407864998741 	 0 	 0.088388347648318447 	 0	 0 	 11.313708498984759	 0.0035979176152216284 	 0	 0.00070297180168799728 	 0	 0.0012944747063042353 	 0	 0.00031572187752336802 	 0	 0.00015726616405437025 	 0	 1.8327649302482944e-05 	 0	 -6.3865692824788723e-05 	 0	 -4.5046888804997688e-05 	 0	 -7.0506167387558979e-05 	 0	 -1.1348804432943837e-05 	 0	 3.4471980826872618e-05 	 0	 1.944434937996926e-05 	 0	 1.3032503290304245e-05 	 0	 -2.7212443318243836e-06 	 0	 -1.7187174434800612e-05 	 0	 -6.4298243694478581e-06 	 0	 2.6823610362618755e-06 	 0	 4.1833630873452948e-06 	 0	 5.4118141747639047e-06 	 0	 8.4528777225824593e-07 	 0	 -3.3513201872717062e-06 	 0	 -2.8325042543174501e-06 	 0	 -1.9029366374880958e-06 	 0	 1.6407006386737315e-06 	 0	 4.5914166055027697e-06 	 0	 3.7366445856682582e-07 	 0	 -3.7681407561905841e-06 	 0	 -1.4143015407197993e-06 	 0	 1.4049110817205215e-06 	 0	 1.1783057103982162e-06 	 0	 3.9622661673122173e-07 	 0	 -3.1870003123009022e-07 	 0	 -7.9546063832649794e-07 	 0	 -4.0316058531009143e-07 	 0	 1.4239936400901465e-07 	 0	 6.1079805741323686e-07 	 0	 7.4507184905976169e-07 	 0	 -3.5911296885807589e-07 	 0	 -1.2262419595432453e-06 	 0	 -6.8971559848936156e-08 	 0	 1.1064809096428264e-06 	 0	 3.937936546988313e-07 	 0	 -5.703837754897844e-07 	 0	 -4.7406341873218021e-07 	 0	 -4.0168006841820374e-08 	 0	 3.2612486394481011e-07 	 0	 4.3722263527818655e-07 	 0	 -6.7410631865524833e-08 	 0	 -5.0081862028087192e-07 	 0	 -1.6270659750624657e-07 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.2298373876248845 	 0 	 0.088388347648318447 	 0	 0 	 11.313708498984759	 0.0073671896929682797 	 0	 0.0013196883764591578 	 0	 0.002622666040847395 	 0	 0.00059034806207476393 	 0	 0.00030813531396901319 	 0	 3.3340628767351664e-05 	 0	 -0.00012942259745219698 	 0	 -8.4158111000905871e-05 	 0	 -0.0001411766214435643 	 0	 -2.1010130026899672e-05 	 0	 7.0109275825738825e-05 	 0	 3.6317612386892387e-05 	 0	 2.549717563306687e-05 	 0	 -5.1817846662509218e-06 	 0	 -3.4505450215391236e-05 	 0	 -1.1947938100357721e-05 	 0	 5.6856803880923614e-06 	 0	 7.819281019504307e-06 	 0	 1.0640993759909835e-05 	 0	 1.5457437628314192e-06 	 0	 -6.6769831783887233e-06 	 0	 -5.2696188491744968e-06 	 0	 -3.7879078695558737e-06 	 0	 3.0662093551517469e-06 	 0	 9.2068491473146831e-06 	 0	 6.8448657435354686e-07 	 0	 -7.6137985991858691e-06 	 0	 -2.6307760020703002e-06 	 0	 2.9070499407586279e-06 	 0	 2.1993814517369367e-06 	 0	 7.119455078888278e-07 	 0	 -6.0160033618691427e-07 	 0	 -1.5430848996102807e-06 	 0	 -7.444387419791496e-07 	 0	 2.647634561436797e-07 	 0	 1.1348174037842439e-06 	 0	 1.4968896435497674e-06 	 0	 -6.6911708797761146e-07 	 0	 -2.4589584324378898e-06 	 0	 -1.2696312852369227e-07 	 0	 2.2252533527178137e-06 	 0	 7.3237797679036328e-07 	 0	 -1.158273260881533e-06 	 0	 -8.8309570498074667e-07 	 0	 -6.1777225293867169e-08 	 0	 6.0870926085300201e-07 	 0	 8.5932073985362607e-07 	 0	 -1.2750498721803338e-07 	 0	 -9.928993966652531e-07 	 0	 -3.0094743751726298e-07 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.1180339887498951 	 0 	 0.088388347648318447 	 0	 0 	 11.313708498984759	 0.014173825710188402 	 0	 0.0023084963274288862 	 0	 0.0049966840463507474 	 0	 0.0010289153244782722 	 0	 0.00056851685769296497 	 0	 5.6623527722025336e-05 	 0	 -0.00024659074423352337 	 0	 -0.00014656226760229163 	 0	 -0.00026602903864212047 	 0	 -3.6283153514566725e-05 	 0	 0.00013403920691911245 	 0	 6.3233649638628762e-05 	 0	 4.6979669787351252e-05 	 0	 -9.1804855659286434e-06 	 0	 -6.5179202256103759e-05 	 0	 -2.070454841775733e-05 	 0	 1.1272076576948336e-05 	 0	 1.3623351548563417e-05 	 0	 1.9703399619987317e-05 	 0	 2.6386262621378849e-06 	 0	 -1.2520481456897051e-05 	 0	 -9.1417805363770796e-06 	 0	 -7.099494429352084e-06 	 0	 5.3414126119912025e-06 	 0	 1.73734721039774e-05 	 0	 1.1703818733651975e-06 	 0	 -1.4469589638967609e-05 	 0	 -4.5632709607657759e-06 	 0	 5.6451085060614807e-06 	 0	 3.8271260180321808e-06 	 0	 1.1964786890072521e-06 	 0	 -1.0575741112998336e-06 	 0	 -2.81888067771686e-06 	 0	 -1.2824821553257671e-06 	 0	 4.6212836943255192e-07 	 0	 1.9662536534249823e-06 	 0	 2.8300744377483008e-06 	 0	 -1.1624077573037638e-06 	 0	 -4.6403183712058181e-06 	 0	 -2.1811086072073748e-07 	 0	 4.2106103585745277e-06 	 0	 1.2701708114999174e-06 	 0	 -2.2114191391955763e-06 	 0	 -1.5338479280486805e-06 	 0	 -8.3240102256357945e-08 	 0	 1.0591798145759011e-06 	 0	 1.5905670318881221e-06 	 0	 -2.2455481836573325e-07 	 0	 -1.8533640352452906e-06 	 0	 -5.1927500339569939e-07 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.0062305898749055 	 0 	 0.088388347648318447 	 0	 0 	 11.313708498984759	 0.025621641903639324 	 0	 0.0037562166681962086 	 0	 0.0089520370974686125 	 0	 0.0016686309268351038 	 0	 0.00098806336183501981 	 0	 8.963873685147236e-05 	 0	 -0.00044176727370612729 	 0	 -0.00023751220965388727 	 0	 -0.00047180456898644925 	 0	 -5.8348797823981147e-05 	 0	 0.00024090549915671154 	 0	 0.00010245381400774581 	 0	 8.1550235963202621e-05 	 0	 -1.5107729469648367e-05 	 0	 -0.00011585186357621972 	 0	 -3.3401425596038366e-05 	 0	 2.0912392479074437e-05 	 0	 2.2086137912552836e-05 	 0	 3.4366590515545489e-05 	 0	 4.1977295899680504e-06 	 0	 -2.2100669464538152e-05 	 0	 -1.4762863637300784e-05 	 0	 -1.2529843038932249e-05 	 0	 8.6583495418545815e-06 	 0	 3.0853301795418826e-05 	 0	 1.864877367333726e-06 	 0	 -2.5864617539217288e-05 	 0	 -7.368243992551163e-06 	 0	 1.0288319656409448e-05 	 0	 6.1975057570708848e-06 	 0	 1.8814735063145505e-06 	 0	 -1.7283867522029159e-06 	 0	 -4.8515262549236071e-06 	 0	 -2.057803866469791e-06 	 0	 7.5787990882166668e-07 	 0	 3.1716530084022393e-06 	 0	 5.0353828734911979e-06 	 0	 -1.8795137490189655e-06 	 0	 -8.2412206195164922e-06 	 0	 -3.4908184827337182e-07 	 0	 7.4965581597404973e-06 	 0	 2.0506582228928045e-06 	 0	 -3.9696822582226647e-06 	 0	 -2.4797217683541249e-06 	 0	 -9.273877853368266e-08 	 0	 1.7151610412494562e-06 	 0	 2.7733702441731145e-06 	 0	 -3.6759196028927921e-07 	 0	 -3.2577720962276943e-06 	 0	 -8.3441280536869552e-07 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -0.89442719099991608 	 0 	 0.088388347648318447 	 0	 0 	 11.313708498984759	 0.043517254806329994 	 0	 0.005671599145829747 	 0	 0.015082516190979597 	 0	 0.0025120109849307518 	 0	 0.0016181343074090225 	 0	 0.00013198349368895223 	 0	 -0.00074419163882328361 	 0	 -0.00035732220911727713 	 0	 -0.00078758382054021619 	 0	 -8.7174989936079713e-05 	 0	 0.00040703388928472968 	 0	 0.00015410935868698442 	 0	 0.00013340936491460241 	 0	 -2.3039798134025305e-05 	 0	 -0.00019377719842512378 	 0	 -5.0045847496477726e-05 	 0	 3.632131268350127e-05 	 0	 3.323894469459391e-05 	 0	 5.6478931345662833e-05 	 0	 6.2096181973821004e-06 	 0	 -3.6728190860572597e-05 	 0	 -2.2139812080367703e-05 	 0	 -2.0825204390197517e-05 	 0	 1.3029019197141694e-05 	 0	 5.1568302259332694e-05 	 0	 2.7627553294165527e-06 	 0	 -4.3487498693381971e-05 	 0	 -1.1048973941661066e-05 	 0	 1.7599499467629327e-05 	 0	 9.3176336598412907e-06 	 0	 2.7707049444165926e-06 	 0	 -2.6198604741407117e-06 	 0	 -7.8705991170684146e-06 	 0	 -3.0681392093479596e-06 	 0	 1.1691677103256644e-06 	 0	 4.7516187886569506e-06 	 0	 8.4314601485690091e-06 	 0	 -2.8218792255665032e-06 	 0	 -1.3775477516923051e-05 	 0	 -5.1929595779125847e-07 	 0	 1.2558854536786155e-05 	 0	 3.0747005899293356e-06 	 0	 -6.6999704795083625e-06 	 0	 -3.722569357523135e-06 	 0	 -7.0481223068182932e-08 	 0	 2.5786204390650245e-06 	 0	 4.5565878066288683e-06 	 0	 -5.5800611305043111e-07 	 0	 -5.3933419154401778e-06 	 0	 -1.2457366490303774e-06 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -0.78262379212492661 	 0 	 0.088388347648318447 	 0	 0 	 11.313708498984759	 0.069446556868399539 	 0	 0.0079204433585205979 	 0	 0.023897235745782213 	 0	 0.0034988109813609979 	 0	 0.002497947342695022 	 0	 0.00018017802320531082 	 0	 -0.0011788894646073745 	 0	 -0.00049739645156328415 	 0	 -0.0012375583343767998 	 0	 -0.00012060139975512456 	 0	 0.00064653640433817944 	 0	 0.00021449076080110483 	 0	 0.00020575171026656648 	 0	 -3.24552130626429e-05 	 0	 -0.00030502756289874056 	 0	 -6.9412462668718271e-05 	 0	 5.9077665810006077e-05 	 0	 4.6283350850036392e-05 	 0	 8.7480072915362736e-05 	 0	 8.5139369837740551e-06 	 0	 -5.7473424382436653e-05 	 0	 -3.0732746925672547e-05 	 0	 -3.259801725227812e-05 	 0	 1.8140299118648899e-05 	 0	 8.112508402129843e-05 	 0	 3.7931249802590495e-06 	 0	 -6.8777084338110357e-05 	 0	 -1.5335937922328716e-05 	 0	 2.8259657337480514e-05 	 0	 1.2962744351042237e-05 	 0	 3.8266701756516437e-06 	 0	 -3.6710208264864794e-06 	 0	 -1.2041694240631173e-05 	 0	 -4.2367930219657614e-06 	 0	 1.6992094684454379e-06 	 0	 6.5897621821971057e-06 	 0	 1.3286690088313026e-05 	 0	 -3.9210092739529361e-06 	 0	 -2.1672832006968785e-05 	 0	 -7.1566892729259147e-07 	 0	 1.9798302296444722e-05 	 0	 4.2672716925451013e-06 	 0	 -1.0632358098543652e-05 	 0	 -5.1720228287273802e-06 	 0	 9.1950377808311972e-09 	 0	 3.5873583677144151e-06 	 0	 7.0560857062390205e-06 	 0	 -7.8290046295279267e-07 	 0	 -8.4109111718460591e-06 	 0	 -1.7222766892796537e-06 	 0
